Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Goals,Shots,Assists,Clearances,Fouls
1,Max Aarons,ENG,DF,Norwich City,Premier League,22,2000,30,2521,0,0.43,0.04,2.18,1
2,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,34,1987,31,2713,0.07,0.6,0,3.19,1.33
3,Salis Abdul Samed,GHA,MF,Clermont Foot,Ligue 1,22,2000,30,2398,0.04,0.68,0,0.56,1.54
4,Laurent Abergel,FRA,MF,Lorient,Ligue 1,29,1993,31,2708,0,0.86,0.07,0.37,1.46
5,Charles Abi,FRA,FW,FALSE,Ligue 1,22,2000,1,45,0,0,0,0,2
6,Dickson Abiama,NGA,FW,FALSE,Bundesliga,23,1998,23,723,0,2.25,0.13,0.88,2.25
7,Matthis Abline,FRA,FW,Rennes,Ligue 1,19,2003,7,103,0,1.82,0,0.91,1.82
8,Tammy Abraham,ENG,FW,Roma,Serie A,24,1997,34,2815,0.48,2.78,0.13,0.86,1.31
9,Luis Abram,PER,DF,Granada,La Liga,26,1996,8,560,0,0.32,0,6.29,0.81
10,Francesco Acerbi,ITA,DF,Lazio,Serie A,34,1988,27,2266,0.16,0.56,0,4.29,0.71
11,Ragnar Ache,GER,MF-FW,Eint Frankfurt,Bundesliga,23,1998,13,259,0,3.79,0.34,0.34,2.07
12,Che Adams,SCO,FW,Southampton,Premier League,25,1996,28,2002,0.32,2.16,0.14,0.72,1.4
13,Tyler Adams,USA,MF,RB Leipzig,Bundesliga,23,1999,22,1313,0,0.14,0.07,1.37,1.37
14,Sargis Adamyan,ARM,FW-MF,Hoffenheim,Bundesliga,28,1993,13,331,0.27,0.81,0,0.54,1.62
15,Martin Adeline,FRA,MF-FW,Reims,Ligue 1,18,2003,8,352,0,1.03,0,1.54,4.1
16,Amine Adli,FRA,FW-MF,Leverkusen,Bundesliga,21,2000,25,1256,0.21,2.71,0.14,0.57,1.93
17,Yacine Adli,FRA,MF-FW,Bordeaux,Ligue 1,21,2000,35,2234,0.04,1.29,0.28,0.56,1.05
18,Michel Aebischer,SUI,MF,Bologna,Serie A,25,1997,10,287,0,0.63,0,0.94,3.75
19,Felix Afena-Gyan,GHA,FW-MF,Roma,Serie A,19,2003,17,668,0.27,2.43,0,0,2.03
20,Martin Agirregabiria,ESP,DF,FALSE,La Liga,25,1996,21,1501,0,0.24,0.06,2.57,1.68
21,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,21,2000,4,360,0,0,0,0.25,0
22,Lucien Agoume,FRA,MF,Brest,Ligue 1,20,2002,25,1763,0,0.82,0,1.53,1.68
23,Kevin Agudelo,COL,FW-MF,Spezia,Serie A,23,1998,20,1033,0.26,1.48,0,0.26,3.13
24,Nayef Aguerd,MAR,DF,Rennes,Ligue 1,26,1996,29,2555,0.07,0.88,0.07,5.18,0.63
25,Ruben Aguilar,FRA,DF,Monaco,Ligue 1,29,1993,25,1870,0,0.38,0.1,2.93,1.44
26,Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,20,2002,3,61,0,0,0,2.86,2.86
27,Anel Ahmedhodzic,BIH,DF,Bordeaux,Ligue 1,23,1999,12,1080,0,0.5,0.08,2.67,1.17
28,Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,28,1994,22,886,0.1,1.43,0.1,1.12,2.24
29,Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,26,1995,28,2277,0,0.24,0,4.19,0.36
30,Ola Aina,NGA,DF,Torino,Serie A,25,1996,19,1257,0,0.64,0,2.21,1.36
31,Kristoffer Ajer,NOR,DF,Brentford,Premier League,24,1998,21,1757,0,0.31,0.15,3.79,0.82
32,Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,28,1994,33,2597,0.42,2.01,0.28,1.04,1.11
33,Manuel Akanji,SUI,DF,Dortmund,Bundesliga,26,1995,24,2081,0.04,0.61,0,2.94,0.82
34,Carlos Akapo,EQG,DF,FALSE,La Liga,29,1993,22,1607,0,0.39,0,2.63,1.23
35,Ilias Akhomach,ESP,FW,Barcelona,La Liga,18,2004,2,124,0,2.86,0,0,2.86
36,Maghnes Akliouche,FRA,MF-FW,Monaco,Ligue 1,20,2002,7,54,0,3.33,0,0,5
37,Paul Akouokou,CIV,MF,Betis,La Liga,24,1997,8,516,0,0.35,0,1.58,2.46
38,Jean-Daniel Akpa-Akpro,CIV,MF,Lazio,Serie A,29,1992,9,303,0,0.59,0,1.18,3.82
39,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,27,1995,25,1442,0.13,0.75,0.13,1.81,1.81
40,David Alaba,AUT,DF,Real Madrid,La Liga,29,1992,30,2642,0.07,0.71,0.1,2.28,0.61
41,Sofiane Alakouch,MAR,DF-MF,Metz,Ligue 1,23,1998,4,158,0,0.56,0,1.11,2.78
42,Lucas Alario,ARG,FW,Leverkusen,Bundesliga,29,1992,25,569,0.63,3.33,0,0.63,1.27
